ngram,EN,DE,ES,FR,IT,PO
a,187,223,0,975,0,0
aa,36,30,0,27,0,0
as,363,315,0,188,0,0
se,374,516,0,493,0,0
e,2775,1638,0,2966,0,0
ab,197,311,0,210,0,0
b,11,92,0,4,0,0
be,383,491,0,50,0,0
el,231,257,0,372,0,0
l,415,234,0,848,0,0
en,547,1650,0,1037,0,0
nd,1704,1326,0,220,0,0
d,2722,1183,0,188,0,0
ds,45,14,0,21,0,0
s,1324,948,0,2193,0,0
dz,0,6,0,0,0,0
ze,6,157,0,10,0,0
ei,105,990,0,36,0,0
it,357,220,0,632,0,0
t,1215,1013,0,2921,0,0
er,857,1811,0,714,0,0
r,678,1542,0,674,0,0
rm,18,66,0,30,0,0
ma,270,228,0,271,0,0
al,420,335,0,132,0,0
ls,37,95,0,190,0,0
bg,0,3,0,0,0,0
ge,101,742,0,167,0,0
eb,43,213,0,23,0,0
br,237,179,0,184,0,0
ro,231,71,0,176,0,0
oc,18,49,0,25,0,0
ch,161,1366,0,248,0,0
he,2144,526,0,136,0,0
n,1014,2497,0,793,0,0
ef,39,36,0,5,0,0
fa,82,20,0,135,0,0
ll,385,359,0,263,0,0
le,329,468,0,927,0,0
ew,40,81,0,14,0,0
wa,237,268,0,0,0,0
an,1951,586,0,740,0,0
dt,4,30,0,0,0,0
bi,91,110,0,102,0,0
im,201,125,0,76,0,0
ae,13,14,0,0,0,0
me,343,325,0,435,0,0
ec,84,94,0,111,0,0
h,794,756,0,97,0,0
hs,6,38,0,0,0,0
bl,75,79,0,63,0,0
la,224,191,0,561,0,0
ss,124,108,0,167,0,0
ra,300,405,0,615,0,0
ah,333,252,0,81,0,0
ha,687,345,0,258,0,0
am,358,258,0,215,0,0
m,518,678,0,258,0,0
ms,15,17,0,1,0,0
ac,115,385,0,97,0,0
ht,137,363,0,3,0,0
te,342,895,0,669,0,0
et,210,152,0,1487,0,0
th,2562,140,0,99,0,0
hu,74,75,0,30,0,0
un,335,1209,0,162,0,0
de,181,1245,0,874,0,0
rt,199,169,0,99,0,0
tu,45,47,0,152,0,0
dd,6,13,0,4,0,0
dr,88,38,0,93,0,0
re,689,418,0,823,0,0
iã,0,38,0,58,0,0
ãÿ,0,276,0,0,0,0
ÿi,0,13,0,0,0,0
ig,88,165,0,27,0,0
g,216,198,0,17,0,0
df,0,6,0,0,0,0
fã,0,66,0,2,0,0
ã¼,0,205,0,0,0,0
¼n,0,45,0,0,0,0
nz,0,51,0,5,0,0
zi,7,59,0,6,0,0
si,97,405,0,130,0,0
ie,70,776,0,395,0,0
dv,6,2,0,0,0,0
vi,53,62,0,201,0,0
rz,0,30,0,1,0,0
ck,27,32,0,0,0,0
ke,149,102,0,14,0,0
nn,12,163,0,67,0,0
ct,37,30,0,40,0,0
ts,72,49,0,89,0,0
ad,157,55,0,36,0,0
da,139,579,0,159,0,0
ai,298,45,0,588,0,0
i,188,123,0,671,0,0
ak,85,8,0,27,0,0
kk,0,1,0,0,0,0
ka,6,111,0,5,0,0
ld,157,31,0,4,0,0
in,728,963,0,302,0,0
em,123,282,0,210,0,0
nt,467,157,0,795,0,0
lb,0,27,0,0,0,0
rl,16,44,0,19,0,0
es,350,525,0,967,0,0
lm,2,3,0,1,0,0
mã,0,44,0,64,0,0
ã,0,339,0,1719,0,0
mo,164,107,0,207,0,0
od,213,43,0,32,0,0
sd,0,1,0,0,0,0
so,218,223,0,316,0,0
o,531,81,0,0,0,0
lt,92,125,0,19,0,0
ta,90,141,0,263,0,0
ar,533,443,0,449,0,0
rs,179,65,0,154,0,0
ek,4,13,0,0,0,0
ki,69,35,0,4,0,0
mm,13,109,0,207,0,0
mi,47,179,0,86,0,0
on,462,285,0,652,0,0
or,384,191,0,204,0,0
ri,155,126,0,223,0,0
mr,8,8,0,8,0,0
ap,31,35,0,138,0,0
ph,50,52,0,48,0,0
na,147,204,0,122,0,0
rn,88,119,0,135,0,0
ne,246,522,0,401,0,0
nf,6,42,0,54,0,0
ng,261,133,0,142,0,0
eh,161,200,0,12,0,0
hã,0,47,0,77,0,0
hm,9,109,0,2,0,0
ic,86,437,0,75,0,0
nk,7,20,0,0,0,0
ko,1,44,0,0,0,0
om,206,111,0,261,0,0
no,249,102,0,181,0,0
ny,54,39,0,37,0,0
ym,38,38,0,36,0,0
ou,458,38,0,644,0,0
us,157,151,0,324,0,0
ns,213,207,0,366,0,0
tw,61,11,0,0,0,0
wo,68,76,0,0,0,0
zu,1,205,0,1,0,0
at,581,167,0,134,0,0
rb,8,45,0,66,0,0
io,78,36,0,85,0,0
rk,41,37,0,1,0,0
rp,14,5,0,17,0,0
sa,318,176,0,223,0,0
rv,24,4,0,35,0,0
va,135,30,0,183,0,0
di,75,407,0,399,0,0
sc,13,244,0,13,0,0
sk,7,6,0,0,0,0
su,31,7,0,142,0,0
ur,125,58,0,546,0,0
sy,2,1,0,0,0,0
yr,2,2,0,0,0,0
st,254,391,0,163,0,0
ot,189,175,0,61,0,0
au,71,375,0,296,0,0
uc,9,103,0,37,0,0
uf,1,182,0,18,0,0
f,613,177,0,17,0,0
fb,0,3,0,0,0,0
ba,54,73,0,28,0,0
ue,11,16,0,215,0,0
fg,0,9,0,0,0,0
ed,499,75,0,19,0,0
kt,3,18,0,3,0,0
eg,95,126,0,14,0,0
ga,153,92,0,53,0,0
gi,29,41,0,6,0,0
fh,0,7,0,0,0,0
hi,560,174,0,56,0,0
ho,388,37,0,124,0,0
ob,6,17,0,6,0,0
fr,92,44,0,95,0,0
fs,3,2,0,1,0,0
fw,0,1,0,0,0,0
ug,78,84,0,20,0,0
sf,0,4,0,0,0,0
fl,50,68,0,12,0,0
li,152,111,0,103,0,0
sg,0,12,0,0,0,0
¼h,0,20,0,0,0,0
hr,37,244,0,3,0,0
tt,33,226,0,30,0,0
sl,17,13,0,8,0,0
lã,0,19,0,93,0,0
tr,61,53,0,270,0,0
sw,12,1,0,0,0,0
we,214,222,0,0,0,0
sz,0,1,0,0,0,0
aã,0,151,0,74,0,0
ÿ,0,199,0,0,0,0
ÿe,0,41,0,0,0,0
mh,0,2,0,0,0,0
gk,1,3,0,0,0,0
um,25,104,0,22,0,0
ut,103,99,0,335,0,0
ee,286,21,0,0,0,0
hl,1,64,0,0,0,0
fe,112,71,0,122,0,0
gr,71,38,0,45,0,0
¼t,0,20,0,0,0,0
id,236,38,0,22,0,0
kã,0,34,0,8,0,0
¼m,0,1,0,0,0,0
rg,6,58,0,17,0,0
rã,0,32,0,198,0,0
mt,0,10,0,0,0,0
lo,111,66,0,123,0,0
os,58,19,0,52,0,0
hn,32,224,0,32,0,0
ni,98,171,0,89,0,0
tz,0,27,0,0,0,0
zt,0,12,0,0,0,0
ag,55,112,0,62,0,0
gt,4,99,0,16,0,0
og,12,31,0,3,0,0
eu,7,145,0,533,0,0
ul,52,8,0,33,0,0
ib,39,131,0,38,0,0
il,195,135,0,633,0,0
ir,160,156,0,234,0,0
is,425,227,0,356,0,0
bt,4,38,0,2,0,0
dh,0,4,0,2,0,0
oã,0,31,0,67,0,0
lu,11,74,0,177,0,0
bo,67,35,0,49,0,0
uã,0,9,0,12,0,0
sh,355,4,0,60,0,0
do,105,44,0,93,0,0
op,18,9,0,7,0,0
pf,0,12,0,0,0,0
ru,37,90,0,62,0,0
ud,15,25,0,24,0,0
oh,43,112,0,33,0,0
¼d,0,6,0,0,0,0
bu,65,27,0,5,0,0
uk,7,27,0,10,0,0
k,96,44,0,0,0,0
bã,0,27,0,78,0,0
¼c,0,11,0,0,0,0
dã,0,3,0,71,0,0
ln,1,13,0,1,0,0
pt,22,35,0,74,0,0
ub,18,17,0,6,0,0
ti,154,126,0,237,0,0
co,159,39,0,239,0,0
ol,113,146,0,61,0,0
ia,75,73,0,96,0,0
ku,0,6,0,0,0,0
bs,11,14,0,2,0,0
av,113,17,0,155,0,0
vo,19,234,0,146,0,0
az,6,10,0,2,0,0
u,154,278,0,620,0,0
wi,280,203,0,0,0,0
rh,0,25,0,9,0,0
gl,4,25,0,0,0,0
ik,7,1,0,1,0,0
kl,2,10,0,1,0,0
ih,1,225,0,1,0,0
tf,7,15,0,0,0,0
fu,14,21,0,78,0,0
hz,0,6,0,0,0,0
fz,0,10,0,0,0,0
